MORPH_ID,BoreName,BoreReport,HydroID,HydroCode,StateBoreID,StatePipeID,StateTerritory,Agency,WCode,BoreDepth,DrilledDepth,Status,DrilledDate,HGUID,HGUNumber,HGUName,NafHGUNumber,AquiferType,FType,Latitude,Longitude,Easting,Northing,Projection,ProjectionZone,CoordMethod,HeightDatum,GALandElev,GALandElevMethod,RefElev,RefElevDesc,RefElevMethod,basement_MD,min_basement_MD,basementGeol,basementRockType,basementAgeTo,surfaceGeol,surfaceRepAge,surfaceLith,FTypeClass,ConstructionLog,LithLog,HydrostratLog,HydroChem,waterLevel,GAHydroChem,AddedBy,Comment,Source,QAQCd_By,QAQC_date,geometry
3000020001,CHRB0048,,,CHRB0048,CHRB0048,,SA,,,,,UNK,,,,,,,EXPR,-26.111177680740678,129.10001669296926,510000.0,7112000.0,1.0,52.0,GPS,AHD,646.0,DEM,646.0,NGS,DEM,,,,,,colluvium 38491,Quaternary,regolith,Exploration,0,1,0,0.0,0,0,Martin Smith,,Exploration log and collars from state open file mineral exploration data,,,POINT (-286556.332031016 -2830384.659455645)
3000022001,CHRB0049,,,CHRB0049,CHRB0049,,SA,,,,,UNK,,,,,,,EXPR,-26.109371738908656,129.10001515624072,510000.0,7112200.0,1.0,52.0,GPS,AHD,643.0,DEM,643.0,NGS,DEM,,,,,,colluvium 38491,Quaternary,regolith,Exploration,0,1,0,0.0,0,0,Martin Smith,,Exploration log and collars from state open file mineral exploration data,,,POINT (-286561.0803845166 -2830182.202378453)
3000024001,CHRB0050,,,CHRB0050,CHRB0050,,SA,,,,,UNK,,,,,,,EXPR,-26.107565796624204,129.10001361965823,510000.0,7112400.0,1.0,52.0,GPS,AHD,647.0,DEM,647.0,NGS,DEM,,,,,,colluvium 38491,Quaternary,regolith,Exploration,0,1,0,0.0,0,0,Martin Smith,,Exploration log and collars from state open file mineral exploration data,,,POINT (-286565.8287253533 -2829979.745437916)
3000026001,CHRB0051,,,CHRB0051,CHRB0051,,SA,,,,,UNK,,,,,,,EXPR,-26.10575985388733,129.10001208322174,510000.0,7112600.0,1.0,52.0,GPS,AHD,649.0,DEM,649.0,NGS,DEM,0.0,,,,,felsic granulite 73059,Mesoproterozoic,high grade metamorphic rock,Exploration,0,1,0,0.0,0,0,Martin Smith,,Exploration log and collars from state open file mineral exploration data,,,POINT (-286570.5770535208 -2829777.288634232)
3000028001,CHRB0052,,,CHRB0052,CHRB0052,,SA,,,,,UNK,,,,,,,EXPR,-26.10395391069808,129.1000105469313,510000.0,7112800.0,1.0,52.0,GPS,AHD,647.0,DEM,647.0,NGS,DEM,,,,,,colluvium 38491,Quaternary,regolith,Exploration,0,1,0,0.0,0,0,Martin Smith,,Exploration log and collars from state open file mineral exploration data,,,POINT (-286575.3253690138 -2829574.831967597)
3000030001,CHRB0053,,,CHRB0053,CHRB0053,,SA,,,,,UNK,,,,,,,EXPR,-26.10214796705646,129.1000090107869,510000.0,7113000.0,1.0,52.0,GPS,AHD,649.0,DEM,649.0,NGS,DEM,,,,,,colluvium 38491,Quaternary,regolith,Exploration,0,1,0,0.0,0,0,Martin Smith,,Exploration log and collars from state open file mineral exploration data,,,POINT (-286580.0736718249 -2829372.3754382)
3000032001,CHRB0054,,,CHRB0054,CHRB0054,,SA,,,,,UNK,,,,,,,EXPR,-26.1003420229625,129.10000747478847,510000.0,7113200.0,1.0,52.0,GPS,AHD,648.0,DEM,648.0,NGS,DEM,,,,,,colluvium 38491,Quaternary,regolith,Exploration,0,1,0,0.0,0,0,Martin Smith,,Exploration log and collars from state open file mineral exploration data,,,POINT (-286584.8219619567 -2829169.919046235)
3000034001,CHRB0055,,,CHRB0055,CHRB0055,,SA,,,,,UNK,,,,,,,EXPR,-26.09853607841622,129.10000593893602,510000.0,7113400.0,1.0,52.0,GPS,AHD,649.0,DEM,649.0,NGS,DEM,,,,,,colluvium 38491,Quaternary,regolith,Exploration,0,1,0,0.0,0,0,Martin Smith,,Exploration log and collars from state open file mineral exploration data,,,POINT (-286589.5702394011 -2828967.462791906)
3000034981,MDRC0003,,,MDRC0003,MDRC0003,,SA,,,,90.0,UNK,2010-06-29T00:00:00,,,,,,EXPR,-26.00724761037125,129.1998619854832,520000.519,7123498.238,1.0,52.0,GPS,AHD,695.0,DEM,695.0,NGS,DEM,,,,,,dunes 38496,Quaternary,regolith,Exploration,0,1,0,0.0,0,0,Martin Smith,,Exploration log and collars from state open file mineral exploration data,,,POINT (-276947.3301048783 -2818513.276678726)
3000035981,MDRC0002,,,MDRC0002,MDRC0002,,SA,,,,102.0,UNK,2010-06-29T00:00:00,,,,,,EXPR,-26.006345917466053,129.19985714166015,520000.187,7123598.096,1.0,52.0,GPS,AHD,692.0,DEM,692.0,NGS,DEM,,,,,,dunes 38496,Quaternary,regolith,Exploration,0,1,0,0.0,0,0,Martin Smith,,Exploration log and collars from state open file mineral exploration data,,,POINT (-276950.0249965728 -2818412.203950138)
